compound_name,clinical_phase,mechanism_of_action,cf_max_score,cf_avg_score,cf_top_pose,docking_max_score,docking_avg_score,docking_top_pose,safety_Aurora kinase A,safety_Bile Salt Export Pump model 2,safety_Caspase 3,safety_Cathepsin L1,safety_hERG_pIC50,safety_KCNA5,safety_Muscarinic acetylcholine receptor M1,safety_Muscarinic acetylcholine receptor M3,hERG_pIC50,KCNA5,pk_Human microsomal clearance model 2,chem_a_acc,chem_a_don,chem_chi0,chem_chi1,chem_chi0_c,chem_chi1_c,chem_kier1,chem_lip_acc,chem_npr1,chem_peoe_pcplus,chem_peoe_vsaplus0,chem_peoe_vsaplus2,chem_peoe_vsaplus4,chem_peoe_vsaplus6,chem_peoe_vsaminus1,chem_peoe_vsaminus3,chem_peoe_vsaminus5,chem_pmi,chem_pmi2,chem_pmix,chem_pmiz,chem_slogp,chem_slogp_vsa1,chem_slogp_vsa3,chem_slogp_vsa5,chem_slogp_vsa7,chem_slogp_vsa9,chem_smr_vsa0,chem_smr_vsa2,chem_smr_vsa4,chem_smr_vsa6,chem_tpsa,cv_safety_score,high_potential
lersivirine,Phase 2,non-nucleoside reverse transcriptase inhibitor,6.29,5.747,5.87,-5.2,-5.45,-5.6,4.35,4.45,5.38,5.69,4.95,6.39,5.69,5.26,4.95,6.39,0.81,4.0,1.0,16.82,11.16,11.83,6.66,19.33,6.0,0.33,1.71,42.65,8.46,10.32,0.0,37.5,44.91,0.0,4242.05,3082.69,2915.18,167.2,2.8,18.44,116.25,37.74,52.93,95.58,0.0,0.0,0.0,20.93,94.86,5.67,0
radafaxine,Phase 2,dopamine-norepinephrine reuptake inhibitor,6.81,5.67,5.27,-4.9,-5.08,-5.5,5.4,3.56,5.59,5.08,4.91,6.48,6.5,6.47,4.91,6.48,1.16,2.0,1.0,12.68,7.83,9.27,5.14,13.43,3.0,0.27,2.32,45.12,22.36,11.43,17.24,54.09,0.0,0.0,2570.03,2093.8,1888.54,179.77,1.56,0.0,20.93,0.0,70.57,139.13,11.0,0.0,0.0,20.93,46.07,5.695,0
telcagepant,Phase 3,calcitonin antagonist,6.12,5.429,5.04,-5.4,-5.659999999999999,-6.1,5.65,4.52,5.6,5.66,4.79,6.75,5.6,5.79,4.79,6.75,1.22,4.0,2.0,28.6,19.01,16.75,8.79,31.43,9.0,0.16,3.78,123.45,16.34,12.95,43.93,24.51,35.73,13.7,18797.46,16391.67,15865.67,522.57,4.22,63.72,73.76,0.0,105.43,127.61,71.59,47.14,23.1,88.68,97.88,5.77,0
benzenemethanol,Preclinical,,6.78,5.522,5.67,-4.2,-4.49,-4.8,4.52,3.44,4.45,4.73,4.53,5.72,5.24,6.73,4.53,5.72,0.71,1.0,1.0,11.42,7.0,9.72,5.52,13.07,2.0,0.27,2.1,51.18,18.1,10.32,17.24,38.97,0.0,0.0,2075.55,1672.51,1548.37,124.14,1.4,0.0,18.44,0.0,52.93,133.3,0.0,0.0,0.0,18.44,36.84,5.125,0
mitoxantrone,Launched,topoisomerase inhibitor,6.09,5.593000000000001,5.88,-4.8,-4.889999999999999,-5.2,5.78,3.72,5.16,5.39,4.5,5.29,5.47,5.19,4.5,5.29,1.28,5.0,5.0,23.09,15.51,14.26,7.97,26.6,10.0,0.36,5.11,32.67,43.62,30.97,34.48,12.25,0.0,27.41,7535.25,5746.85,5049.47,695.67,-1.75,47.4,152.49,0.0,70.57,10.76,90.41,0.0,41.53,163.87,175.17,4.895,0
voruciclib,Phase 1,CDK9 inhibitor,6.67,5.763,2.75,-5.3,-5.56,-5.9,5.73,4.15,5.2,5.82,4.9,6.29,6.54,6.07,4.9,6.29,0.82,3.0,2.0,23.37,15.02,14.09,8.37,25.1,6.0,0.33,3.39,40.38,3.15,20.65,17.66,41.84,35.73,13.57,8086.25,6148.01,5540.03,602.77,3.5,5.69,39.37,32.9,93.46,94.52,69.67,7.76,5.24,45.05,94.26,5.595000000000001,0
decernotinib,Phase 2/Phase 3,JAK inhibitor,6.89,6.3740000000000006,6.42,-6.3,-6.529999999999999,-6.7,7.91,4.22,3.75,3.6,4.71,6.99,5.96,5.12,4.71,6.99,1.1,5.0,4.0,20.36,13.22,12.12,5.93,22.68,7.0,0.24,2.64,88.78,44.19,12.95,9.05,18.75,35.73,13.7,7482.02,6070.07,5773.02,292.04,3.28,81.39,18.44,0.0,114.37,113.86,23.86,42.56,30.14,23.7,95.59,5.85,0
GSK3179106,Phase 1,RET tyrosine kinase inhibitor,7.73,6.606,6.92,-5.7,-6.0,-6.4,7.14,4.39,4.4,4.72,4.84,6.36,5.57,5.0,4.84,6.36,1.42,5.0,3.0,24.39,15.42,14.85,8.24,27.59,7.0,0.21,2.92,90.38,9.02,12.95,9.05,35.4,35.73,27.13,13304.61,11591.66,10733.99,851.99,4.23,55.88,20.93,33.85,108.62,162.15,68.46,34.89,23.52,31.44,93.46,5.6,0
etafenone,Launched,calcium channel blocker,6.97,5.569999999999999,4.65,-5.1,-5.180000000000001,-5.4,5.44,4.15,3.77,5.06,5.23,5.46,6.24,5.78,5.23,5.46,1.85,2.0,0.0,17.2,11.74,14.92,9.03,20.31,3.0,0.33,2.57,53.56,28.14,0.0,8.62,85.78,0.0,13.57,4099.05,3293.22,2890.04,403.11,2.81,5.69,76.24,18.87,158.79,71.9,26.99,0.0,0.0,81.93,30.74,5.345000000000001,0
L-cysteine,Preclinical,mitotic kinesin inhibitor,5.02,4.667,5.02,-3.8,-3.9099999999999993,-4.1,4.96,4.37,4.77,3.91,4.6,5.47,6.07,6.41,4.6,5.47,1.29,0.0,0.0,18.41,12.64,14.7,10.06,20.73,3.0,0.62,2.54,8.53,22.12,0.0,25.86,183.82,0.0,0.0,4574.49,3407.32,2368.4,1041.52,2.38,1.46,17.23,0.0,264.65,32.22,66.55,32.9,0.0,18.7,67.77,5.035,0
